ラベル	満足度	文章	会員ID
移動・交通	1	特に市営バス網が発達し、どのルートを取っても市内中心部に行くことができます。また、地下鉄もダイヤ乱れや人身事故なくスムーズに移動ができます。そして一部公費負担で市営交通と民間路線バスが全線フリーパスも魅力的です。	1234831323
都市景観	-1	電線に尽きます。地中化が必要です。	1234831323
事故・犯罪	-1	ニュースにセンセーショナルに取り上げられるからなのかもしれませんが、凶悪事件が多い気がします。中心部繁華街の治安維持が求められます。	1234831323
買物・飲食	1	コンビニやスーパーが近隣にある	1234926553
移動・交通	1	バス停が多い	1234926553
移動・交通	-1	駅が少ない	1234926553
住宅環境	-1	マンションを増やして欲しい	1234926553
移動・交通	1	複数路線	1233827953
買物・飲食	1	スーパーが多い	1233827953
移動・交通	-1	渋滞	1233827953
住宅環境	1	住みやすい街	1233737878
移動・交通	1	便利	1233737878
買物・飲食	-1	買い物には困らない	1233737878
子育て	-1	暮らしやすい	1233737878
移動・交通	1	都心へも郊外へも比較的アクセスしやすい。都心ほど渋滞ががない。####	1234357022
買物・飲食	1	地元の施設で大体の用が足りる、必要なら都心へ買い物にいく。	1234357022
地域行政	-1	図書館が少ない　東京と比較にならないぐらいひどい	1234357022
初等・中等教育	-1	中学校の給食がない	1234357022
買物・飲食	1	お店は充実している	1229998524
移動・交通	1	公共の交通機関は充実してる	1229998524
子育て	-1	子連れでのお出かけが、混雑しているし、周りの目が気になる	1229998524
医療・福祉	-1	老後の生活が心配	1229998524
移動・交通	1	交通の便が良い	1229030996
住宅環境	1	駅から近い	1229030996
医療・福祉	-1	医療補助がない	1229030996
初等・中等教育	-1	補助がない	1229030996
住宅環境	1	静かで自然に囲まれている	1235797705
買物・飲食	1	ショッピングセンターや飲食店が充実している	1235797705
医療・福祉	-1	公共医療機関の体制はさらなる拡充が必要	1235797705
移動・交通	-1	道路事情の悪い箇所がある	1235797705
買物・飲食	1	百貨店もあるし、スーパーもコンビニもたくさんある	1229529111
医療・福祉	1	病院が多い	1229529111
移動・交通	-1	東京まで一本で行きたい	1229529111
事故・犯罪	-1	発砲事件とか殺人事件が多い。警邏を頻繁に	1229529111
移動・交通	1	駅から近い	1231949303
買物・飲食	1	すぐ近くにスーパーがある	1231949303
都市景観	-1	特になし	1231949303
遊び・娯楽	-1	遊べる場所があまりない	1231949303
移動・交通	1	夫の職場にも近く(車通勤)、どこか遊びに行くにも電車で短時間で移動できるから。	1236746699
自然景観	1	海が見える景色が近く、最寄りの駅はそんなに大きな駅ではないので、夜は結構星が見える。##	1236746699
環境共生	-1	ゴミの分別をさせておいて以前はプラごみを燃やしていた。ゴミの収集日も減らしてしまったし、廃品回収に対しての補助も減らしたので、業者が東京に行きたがり横浜の回数が減る結果に。もっといろいろ考えるべきではないかと思う。	1236746699
自然災害	-1	首都圏が震源地になる地震の可能性はずっと言われているので、対策は万全にしてほしい。財政難なのはわかるけど頑張って！	1236746699
住宅環境	1	特になし	1235988169
遊び・娯楽	1	特になし	1235988169
遊び・娯楽	-1	特になし	1235988169
子育て	-1	特になし	1235988169
自然の恵み	1	新鮮な魚や野菜が安く手に入る	1226392831
買物・飲食	1	都市部なら買い物難民になりにくい	1226392831
遊び・娯楽	-1	観光の目玉になるような一日中遊べる大規模テーマパークがほしい	1226392831
住宅環境	-1	家賃がもう少し安くなってほしい	1226392831
買物・飲食	1	都心に近いけど、物価も安いし多少自然もある	1237009584
買物・飲食	1	駅にテナントが揃っている	1237009584
移動・交通	-1	都心に近い	1237009584
公共空間	-1	図書館の蔵書が多い	1237009584
移動・交通	1	複数路線駅が多くて便利なため	1236536172
子育て	1	公園が多くて、遊びに連れて行きやすいため	1236536172
事故・犯罪	-1	警察官のパトロールを増やして欲しい	1236536172
自然災害	-1	川があるため、氾濫のないよう対策して欲しい	1236536172
住宅環境	1	すぐにショッピングモールがあり、買い物に不自由しない	1233398413
自然の恵み	1	子供達が遊べる公園がたくさんある。	1233398413
子育て	-1	給食費無料やもっと子育て支援に力を入れてほしい	1233398413
住宅環境	1	うるさすぎず、静か	1230028626
自然景観	1	すこし足を伸ばせば箱根まですぐ	1230028626
移動・交通	-1	縦断する鉄道がほしい	1230028626
事故・犯罪	-1	頭おかしいのが増えてきているので抹殺してほしい	1230028626
買物・飲食	1	スーパーが近くに複数あり、買い物に困らない。またドラッグストアもあり便利。	1231327306
移動・交通	1	最寄り駅が始発であり座っていくことができる。	1231327306
買物・飲食	-1	買い物は良いが、良い居酒屋が少ない。数はあるが、チェーン店が多い。	1231327306
自然景観	-1	特に目立ったものがない。でもそれがなくても問題はなく、強いてあげればという感じ。それだけ現状に満足している。	1231327306
住宅環境	1	過ごしやすいから。	1235622943
移動・交通	1	小田急線が便利で、1時間あればだいたいどこでも行けるから	1235622943
遊び・娯楽	-1	遊ぶ場所がご飯かカラオケしかない	1235622943
自然景観	-1	あまり自然がない	1235622943
移動・交通	1	急行、快速、特急全て大和に停車し、横浜に20分、新宿に50分、渋谷にも全て直結で行けるところ。	1234831874
地域行政	1	福祉と教育に惜しみなく税金を費やしているところ	1234831874
事故・犯罪	-1	駅前の治安の悪さを安全にしてほしい	1234831874
都市景観	-1	以前はあちこちに花が植えられてたが、現在市長が変わり、花が取り上げられてしまった。また花壇を再開してほしい	1234831874
住宅環境	1	自然環境、公園が豊富	1235744946
移動・交通	1	通勤、通学の便がいい路線が豊富	1235744946
地域行政	-1	あらゆる面で工夫がなく、独自の施策がない	1235744946
子育て	-1	特別の進んだ施策がない	1235744946
自然景観	1	設問の選択肢の中で唯一適当だったのがこれだったので。	1229482904
買物・飲食	1	地方に住んでいた時と比較するとましにはなったという感じ。	1229482904
公共空間	-1	中央駅周辺に出かけるときに使える駐車場があると便利になると思う。	1229482904
買物・飲食	-1	閉店する店舗が多い。増えて欲しいのに。	1229482904
遊び・娯楽	1	観光地が近い	1233657590
買物・飲食	1	美味しいみせがある	1233657590
都市景観	-1	特になし	1233657590
医療・福祉	-1	特になし	1233657590
移動・交通	1	市営地下鉄、私営線、バス便などアクセスが良い。##	1234314504
自然景観	1	公園、緑が多い	1234314504
自然災害	-1	急傾斜地の適度な検査をお願いしたい	1234314504
医療・福祉	-1	福祉関係の施設の充実をお願いしたい	1234314504
移動・交通	1	東急の路線が多く便利	1226802592
自然の恵み	1	割と公園が多い	1226802592
事故・犯罪	-1	尻手黒川線にいまだに暴走族が通る	1226802592
デジタル生活	-1	市中に無線LANが無い	1226802592
買物・飲食	1	店舗が多く商品の選択肢が多い。	1231634092
移動・交通	1	公共交通機関が整備されている。	1231634092
自然の恵み	-1	都市開発と並行して自然保護に注力して欲しい。	1231634092
デジタル生活	-1	デジタル行政の告知を充実させて欲しい。	1231634092
移動・交通	1	鉄道網で都心にも行けるし、高速道も発展していて便利##	1226854669
自然の恵み	1	海もあり北部には自然が残っているから	1226854669
医療・福祉	-1	大きい病院はあるが、住宅地近くの病院があれば便利	1226854669
買物・飲食	-1	公園等を利用して移動販売など開店してほしい	1226854669
自然景観	1	緑豊かな公園等が沢山有る	1235885805
移動・交通	1	リニア新幹線の駅等に力を入れている	1235885805
自然災害	-1	緑豊富で山も多いので災害対策をしっかりして欲しい	1235885805
子育て	-1	子育て世代に手厚い手当をして欲しい	1235885805
買物・飲食	1	横浜駅、桜木町駅近辺で何でも揃い、都内に出る必要がない	1227471447
事故・犯罪	1	悪質な犯罪が発生したニュースを見る事がなく、安心して外出できる	1227471447
住宅環境	-1	賃貸住宅が高いので、安くして欲しい	1227471447
移動・交通	-1	京浜東北線の大船から品川間の移動時間短縮して欲しい	1227471447
自然景観	1	江の島が近く、丹沢や富士山が遠望できる	1232371022
自然の恵み	1	漁港が多く海の幸が新鮮で安い	1232371022
子育て	-1	横浜などと比較して、教育に関する行政の補助が少ない	1232371022
自然災害	-1	海に近いため、災害時の津波対策が不十分	1232371022
住宅環境	1	飛行機が、飛ばなければ、時計の音が、気になる程、静か。	1232065435
移動・交通	1	高速道路あり、鉄道網も発達しており、とても便利。	1232065435
地域行政	-1	市役所職員の対応。とても、理不尽な対応された。指摘後、改善ない。	1232065435
移動・交通	-1	大型ショッピングモールが、あり、祝日、土日、道路の渋滞。	1232065435
自然景観	1	海があり、山があるところ	1236253337
自然の恵み	1	のどか	1236253337
買物・飲食	-1	個人店が少ない。活気がない	1236253337
遊び・娯楽	-1	娯楽施設が何もない	1236253337
移動・交通	1	利便性が高い	1229729132
買物・飲食	1	利便性が高い	1229729132
買物・飲食	1	スーパーが多いので便利だからです。	1236883972
移動・交通	1	駅が近くバスも多いからです。##	1236883972
遊び・娯楽	-1	遊び場が少なすぎるからです。	1236883972
都市景観	-1	景観がよくない。	1236883972
自然景観	1	川の両側が整備されて散歩に適しています。	1236688790
住宅環境	1	人通りが少なく静かなところ	1236688790
地域行政	-1	具体的にわからないがもう少し活性化してほしい。	1236688790
医療・福祉	-1	眼科、耳鼻科の病院が近くにほしい	1236688790
移動・交通	1	便利	1227148738
住宅環境	1	住みやすい	1227148738
地域行政	-1	役に立っていない	1227148738
環境共生	-1	みどり税を徴収してるのに何も変わっていない	1227148738
自然の恵み	1	海も山もある	1231576642
自然災害	1	大きな災害がない	1231576642
環境共生	-1	気候が良い	1231576642
移動・交通	-1	バスの本数が少ない	1231576642
買物・飲食	1	スーパーや商店街が豊富で金額も安い為	1236254702
移動・交通	1	複線通っており、アクセスが良い為	1236254702
事故・犯罪	-1	治安が悪いと有名な為	1236254702
都市景観	-1	自然が少ないように感じる為	1236254702
移動・交通	1	空港に行きやすい	1234075280
遊び・娯楽	1	飲食店が多い	1234075280
都市景観	-1	狭い道が多い	1234075280
子育て	-1	保育園の充実	1234075280
自然景観	1	近くに自然公園や田畑があり、静かな点	1232648376
買物・飲食	1	過不足なく店が揃っていて、不自由しない点	1232648376
遊び・娯楽	-1	レジャー系の施設がもう少しあると楽しい	1232648376
移動・交通	-1	コミュニティバスがもう少し便を増やすか、収容人数多めにしてほしい	1232648376
買物・飲食	1	近くにスーパーが多く買い物に困らない	1229541817
移動・交通	1	駅が多く移動に困らない	1229541817
住宅環境	-1	道が狭く災害時心配	1229541817
自然景観	-1	緑が少ないと感じる	1229541817
医療・福祉	1	市民病院がとにかく便利	1231595515
遊び・娯楽	1	横浜スタジアムが最高	1231595515
事故・犯罪	-1	夜中などに治安が悪い地域がある	1231595515
子育て	-1	ベビーカーのままバスに乗れるのはおかしい	1231595515
事故・犯罪	1	防犯 など あまり聞いたことがない	1234457045
医療・福祉	1	大きな病院などがたくさんある	1234457045
自然災害	-1	対策をしっかりしてほしい	1234457045
公共空間	-1	公園の整備	1234457045
自然景観	1	高い建物がないため、海や山、畑など自然が映える。	1230684963
自然の恵み	1	三浦大根や三浦キャベツ等名産。畑が身近なので、楽しめる。	1230684963
遊び・娯楽	-1	市内、唯一の水族館が閉館してしまい、観光が出来る場所が減ってしまった。同じような観光施設が出来ると良い。	1230684963
移動・交通	-1	市内はバス、車がないと不便な場所。循環バスやタクシー等、気軽に使いたい。	1230684963
買物・飲食	1	買い物ができる店が多く、様々なものが手に入りやすいから。	1228615629
医療・福祉	1	様々なジャンルの病院があるから。	1228615629
移動・交通	-1	電車の本数が少なかったりと、交通の便が良くないことがあるから。	1228615629
遊び・娯楽	-1	遊園地などが近所にないから。	1228615629
遊び・娯楽	1	いいね	1236947720
環境共生	1	意外と畑や緑ある	1236947720
移動・交通	-1	間違えた	1236947720
移動・交通	-1	便はいい	1236947720
移動・交通	1	どこに行くのも便利	1226542406
買物・飲食	1	充実してます	1226542406
移動・交通	-1	道路が狭い##	1226542406
医療・福祉	-1	特に無し	1226542406
環境共生	1	駅前はなんでも揃っていて、少し離れると自然が多い。都心にも出られる交通の便利な田舎	1234635944
公共空間	1	建物がだいたい新しい	1234635944
医療・福祉	-1	総合病院ぐらいしか大きいところがない	1234635944
自然災害	-1	あまり対策がされてなさそう	1234635944
自然災害	1	特に何も起こらないから	1233290821
事故・犯罪	1	特に何も起こらないから	1233290821
買物・飲食	-1	お店がないから誘致してほしい	1233290821
移動・交通	-1	移動が不便だから改善して欲しい	1233290821
買物・飲食	1	自転車移動圏内にあるから	1230284857
移動・交通	1	小田急で新宿まで一本で行ける	1230284857
買物・飲食	-1	全体的に値下げ	1230284857
移動・交通	-1	都内までもっと早く出たい	1230284857
住宅環境	1	住居地域の環境が、都市交通網の充実度と緑化の具合のバランスが丁度良く気に入っている。	1236021905
都市景観	1	溝の口・小杉などの中核都市の利便性が高く、それでいて昔ながらの場所も兼ね備えている	1236021905
移動・交通	-1	田園都市線のダイヤが市内駅、特に宮崎台・宮前平に全ての犠牲を背負わせるようなダイヤになっているため、一刻も早く改善してほしい	1236021905
自然災害	-1	用途地域の関係で自然災害対策が進められない地域など、運用面での課題が多いと感じるので改善方針を示してほしい	1236021905
移動・交通	1	便利	1233234859
買物・飲食	1	充実している	1233234859
子育て	-1	支援	1233234859
住宅環境	-1	補助	1233234859
移動・交通	1	3路線が使える、始発で座れる、都内に出やすい	1232065287
買物・飲食	1	ほとんどの飲食チェーン店がある、ノクティ内ならノクティﾎﾟｲﾝﾄも付いてお得	1232065287
事故・犯罪	-1	夜の治安が悪い##歩きたばこが多い##駐輪・駐車禁止が守られていない##自転車の信号・標識無視が当たり前	1232065287
地域行政	-1	駅前の無法地帯（不法占拠、歩きたばこ、悪臭、駐車禁止）に対処してほしい	1232065287
移動・交通	1	電車、バス、多いので移動には困らない。タクシーもくる。場所によってはタクシーがなかなか来ない所がある。ここは来る。	1229654991
自然景観	1	自然がほどよくある。	1229654991
事故・犯罪	-1	犯罪は怖い。見回りなど定期的にしてほしい。前は見かけたけど最近見かけない。また自転車の乗り方が非常に悪く暴走してくるから取り締まってほしい。危なすぎる。	1229654991
地域行政	-1	区役所の派出所がほしい。何かにつけて駅前の区役所に行くのはちょっと大変。派出所があるとすごく助かる。また区役所の方、まじめに人の話を聞いて欲しい。鼻で笑うのは失礼だとわからないのか不思議でならない。	1229654991
買物・飲食	1	なんとなく	1236904831
移動・交通	1	なんとか	1236904831
子育て	-1	なんとなく	1236904831
自然景観	-1	なんとなく	1236904831
移動・交通	1	公共交通機関が発達している	1235831475
自然の恵み	1	都市部と自然が融合されている	1235831475
地域行政	-1	住民税を安くしてほしい	1235831475
遊び・娯楽	-1	あまり派手にならないように願う	1235831475
自然景観	1	緑が多く、四季を通して花を楽しめる。	1233039122
住宅環境	1	安心安全に暮らせている。	1233039122
医療・福祉	-1	地域の核となるような病院がない。	1233039122
遊び・娯楽	-1	文化的な要素が少ない。	1233039122
住宅環境	1	交通環境	1233616926
住宅環境	1	静か	1233616926
買物・飲食	-1	飲食店が少ない	1233616926
遊び・娯楽	-1	娯楽施設が少ない	1233616926
遊び・娯楽	1	なし	1232101622
デジタル生活	1	なし	1232101622
医療・福祉	-1	なし	1232101622
買物・飲食	-1	なし	1232101622
住宅環境	1	閑静な住宅地で治安が良い	1230250982
事故・犯罪	1	治安が良い	1230250982
自然災害	-1	坂が多く、土砂災害が心配	1230250982
遊び・娯楽	-1	横浜中心部に行かないと娯楽施設が少ない	1230250982
住宅環境	1	土地建物が首都圏に割合に近いのに安価であること。	1232764043
自然景観	1	窓から富士山や丹沢連峰の山々を眺めることができ、落ち着いた気分になること。	1232764043
地域行政	-1	高齢者に対する支援内容がよくわからないこと。	1232764043
デジタル生活	-1	デジタル行政が遅れていて、各種手続きが市役所に出向いておこわなければならないこと。	1232764043
医療・福祉	1	救急病院があり、安心	1233204428
買物・飲食	1	徒歩圏内に買い物ができる	1233204428
デジタル生活	-1	ネットで申請等が出来るようにして欲しい	1233204428
都市景観	-1	オーバーツーリズム	1233204428
自然景観	1	身近に海があり自然を感じるから	1235773347
事故・犯罪	1	比較的治安がいい	1235773347
医療・福祉	-1	障害者手帳を持っていても２級の人は経済的ほとんど恩恵をえれない	1235773347
地域行政	-1	高齢化が進み地域の町内会の当番がすぐ回ってくる。やめる人も多いので外部にやってもらいたい	1235773347
住宅環境	1	騒がしくなく治安も良い点	1230554023
自然災害	1	大きな地震もないし、津波の被害の可能性も低い	1230554023
遊び・娯楽	-1	もっと文化的な施設があると良い	1230554023
都市景観	-1	街並を綺麗に整備して欲しい	1230554023
住宅環境	1	昔から住んでいる人も多く、買い物も近くにあるから	1236292291
医療・福祉	1	困った時にすぐに対応してくれる医療機関が近くにあるから	1236292291
移動・交通	-1	駅が近くにもう1駅で来てほしい	1236292291
環境共生	-1	道が狭く通学路が不安になることが多々ある	1236292291
買物・飲食	1	安い店がある	1234291692
移動・交通	1	便利がいい	1234291692
医療・福祉	-1	障害者に優しいところにしてほしい	1234291692
デジタル生活	-1	わかりやすくして欲しい	1234291692
住宅環境	1	緑が多く静かな住環境	1237021612
自然景観	1	バランスの良い自然環境	1237021612
買物・飲食	-1	近くに商店が全くない	1237021612
移動・交通	-1	駅まで距離がある	1237021612
住宅環境	1	程良く自然と調和している	1230517456
事故・犯罪	1	治安が良い	1230517456
移動・交通	-1	信号のタイミングが悪い	1230517456
自然景観	-1	私有地の木が伸びすぎていて停電になったことがあったり背の高いトラックが通れなくなりそうなので行政代行執行して欲しい	1230517456
デジタル生活	1	ぎい	1231935320
遊び・娯楽	-1	じゅ	1231935320
住宅環境	1	周囲が緑道に囲まれ散歩が気持ち良い	1229835441
自然景観	1	自然が残され癒される	1229835441
デジタル生活	-1	役所がやや離れているので、自宅でも処理可能の範囲が拡張されると良い	1229835441
公共空間	-1	図書館の整備	1229835441
移動・交通	1	駅から徒歩２分に自宅がありますが、以外と静かです	1234350116
買物・飲食	1	駅近にスーパーやコンビニがあるので２４時間、不便に感じる事はないです	1234350116
遊び・娯楽	-1	もう少しで高度な大人の遊び場を作ってほしい	1234350116
移動・交通	-1	都内方面のバスがあればイイかなと	1234350116
買物・飲食	1	自宅近くにクロスガーデン、通勤途上にラゾーナ川崎があり便利。	1234487274
移動・交通	1	JR、バスなど公共交通機関が便利。	1234487274
医療・福祉	-1	高度医療機関がない。	1234487274
地域行政	-1	道路の車線マーキングが剥げてきても補修されない、跨線橋が老朽化しても架け替え予算がつかない。	1234487274
住宅環境	1	高台に居住。見晴らしがよく夏は花火が綺麗に見える。	1233738878
移動・交通	1	2路線の駅が近くにあり、両方とも職場方向に行くので、片方が止まってももう片方が使える。	1233738878
地域行政	-1	住民税が高い。	1233738878
都市景観	-1	街が、住み始めた20年前からほとんど変わらない。発展がない。	1233738878
遊び・娯楽	1	色々ある	1233327306
医療・福祉	1	助かっている	1233327306
地域行政	-1	身近でない	1233327306
子育て	-1	足りてない	1233327306
移動・交通	1	３路線が使えて、東京方面へのアクセスも良い	1230083985
初等・中等教育	1	私立・公立ともに教育熱が高い。	1230083985
買物・飲食	-1	駅前の開発が中途半端なため、飲食のチェーン店が同規模の駅に比べて少ない。	1230083985
公共空間	-1	藤沢駅前の整備を行っているが、有効に使われていない。	1230083985
移動・交通	1	二駅利用可能な上、駅まで10分以内で行く所。	1235897533
住宅環境	1	緑道が目の前にあり、周辺にはマンションが多く建ち並ぶ点です。	1235897533
地域行政	-1	住民税が高い所	1235897533
自然景観	-1	緑道や公園の清掃、整備をまめにして欲しい。	1235897533
住宅環境	1	地域柄か隣近所との関係が良いところ。子供たちが遊べる公園も近所に多くあり、買い物等もストレスなく現在は満足しています。	1228972140
移動・交通	1	駅まで徒歩圏内であり出掛けやすいことと、バスも利用しやすい点です。	1228972140
地域行政	-1	この項目でいいのか分かりませんが、自治会についてです。現役世代は共働きが多く、どのご家庭も役員が回ってくるのが負担です。	1228972140
事故・犯罪	-1	路上駐車の取り締まりを強化してほしいです。	1228972140
買物・飲食	1	スーパーが近く何店舗もあり生活がしやすいです。	1233133539
事故・犯罪	1	比較的に住宅街なので治安が良くゆったりと暮らすには良い環境です。	1233133539
移動・交通	-1	道路沿いなのでバス停は近いですが駅まで15分ぐらいかかり、##ましてはバス便が少ないバス停もあります。##もっとバス便を増やして頂けると有り難いです。	1233133539
自然景観	-1	空地が住宅にかわり緑が少なくごちゃごちゃしている気がします。##区画整理の土地に指定すれば##もう少しすっきりして見えるのかもしれません。	1233133539
移動・交通	1	電車で移動できるから	1230475935
遊び・娯楽	1	娯楽施設が多いから	1230475935
事故・犯罪	-1	怖いから	1230475935
自然災害	-1	坂が多いから	1230475935
自然災害	1	地盤がしっかりしており地震の時も周りより揺れが小さい。かつ台地上のため水害のリスクも低い	1234321193
移動・交通	1	新幹線や航空機へのアクセスが良い。また車異動でも東名高速、中央道、圏央道にも近い。	1234321193
買物・飲食	-1	水道水が硬水のため、乾いた跡が付きやすい。水源を変えるのは無理なので改善は期待しないが最も不満な点である。	1234321193
事故・犯罪	-1	殺人事件が多い。	1234321193
住宅環境	1	建ぺい率1種で、家が建て込んでいない。静かです。	1234066617
医療・福祉	1	病院がクリニックから大学病院まで揃ってます。##	1234066617
事故・犯罪	-1	見回りを組織的にできれば…	1234066617
自然景観	-1	緑をこれ以上減らさない。	1234066617
住宅環境	1	都市空間に満足しています	1236972273
自然景観	1	緑と都市が共存している点	1236972273
住宅環境	-1	一戸建てを購入したいので、良い住宅環境を望みます	1236972273
子育て	-1	子育て施策全国No.1の地域になってほしいです	1236972273
自然景観	1	海がある	1231840172
都市景観	1	緑が多い	1231840172
子育て	-1	バカ親が多い	1231840172
買物・飲食	-1	店が少ない	1231840172
医療・福祉	1	病院がそばに多くあり、医療費の控除申請も進んで教えてくれる	1233566313
買物・飲食	1	モールが近場に2か所あり、車の渋滞は困るけれど普段は安易に買い物に行けるので助かる	1233566313
移動・交通	-1	辻堂駅近辺の渋滞をちょっと考えて欲しい	1233566313
子育て	-1	子どもが遊ぶ場所を増やしてほしい	1233566313
買物・飲食	1	スーパーが多くある	1229339666
移動・交通	1	幹線道路がある	1229339666
事故・犯罪	-1	治安は悩み	1229339666
都市景観	-1	ゴミが沢山	1229339666
買物・飲食	1	住居の近くに複数のスーパーがある	1230959554
移動・交通	1	最寄り駅から2駅で小田急や田園都市線に乗ることができる	1230959554
子育て	-1	医療補助を小学生まで拡充した方がいい	1230959554
事故・犯罪	-1	巡回など増やして防犯を強化してほしい	1230959554
買物・飲食	1	スーパーが多いので特売品を買いやすい 	1236129218
移動・交通	1	歩いても１５分くらいでバスも通っている	1236129218
医療・福祉	-1	1つのビル内にまとまっていてほしい	1236129218
地域行政	-1	老人の集う場所や催しを増やしてほしい	1236129218
買物・飲食	1	色んなお店をある	1233550426
移動・交通	1	環状線沿い	1233550426
医療・福祉	-1	少ない	1233550426
遊び・娯楽	-1	少ない	1233550426
自然景観	1	近くの公園で##富士山が見れる	1236714045
買物・飲食	1	近くにスーパーがある	1236714045
移動・交通	-1	駅が遠いからバス便を増やしてほしい	1236714045
自然災害	-1	近くに避難場所があれば良い	1236714045
住宅環境	1	開成町は面積が小さいので、駅にも近くて、スーパーマーケット、薬局、本屋、診療所等歩いて行けるので、満足している	1228251027
自然景観	1	畑や小さな公園等、緑が多くて、遠くには箱根山、富士山、丹沢山に囲まれていること	1228251027
事故・犯罪	-1	町の人口が増えてきているので、駅前の交番等、無人でなく人員配置して欲しい。##	1228251027
遊び・娯楽	-1	公共の体育館、トレーニングジムのようなところが欲しい	1228251027
住宅環境	1	公園が多い	1235300192
買物・飲食	1	スーパーが多い	1235300192
地域行政	-1	税金が高い	1235300192
初等・中等教育	-1	小中一貫校を充実してほしい	1235300192
地域行政	1	役所関係の手続き時の職員の対応が周りの市の中で一番対応がよかったです。	1234539752
移動・交通	1	利便性がいい。	1234539752
買物・飲食	-1	以前暮らしていた土地柄もあるとは思いますが、現在の市の方が物価が高くかんじます。	1234539752
事故・犯罪	-1	以前住んでいた地域でも小さな犯罪はありましたが、現在の土地のほうが物騒だなと思うことが多いです。	1234539752
買物・飲食	1	家から総合病院が近い	1233124068
買物・飲食	1	ララポがある	1233124068
移動・交通	-1	伊勢原への電車がほしい	1233124068
地域行政	-1	公民館の建て替え	1233124068
自然の恵み	1	駅前は開発されているが離れると自然を楽しめる	1230955895
移動・交通	1	最寄り駅から一本で都心まで行ける	1230955895
医療・福祉	-1	病院がいつも混雑し、予約でも2時間待つ、駐車場も高額	1230955895
事故・犯罪	-1	人工は増えているがモラルを守らない人も増えている	1230955895
地域行政	1	健康診断に行きやすい	1230775719
買物・飲食	1	美味しいお店がある	1230775719
移動・交通	-1	細い道にバスが沢山通るので渋滞がひどい	1230775719
デジタル生活	-1	あちこちにWi-Fiを設置してほしい	1230775719
移動・交通	1	色々な路線やバスのアクセスが良いから	1233078981
住宅環境	1	商業施設が充実している	1233078981
地域行政	-1	今よりもより良く改善	1233078981
医療・福祉	-1	今よりもより良く改善	1233078981
自然景観	1	海もあり山もある美しい景色。温暖な気候。	1233257851
自然の恵み	1	新鮮な海の幸が豊富。	1233257851
医療・福祉	-1	町内に公的な総合病院が無い。	1233257851
移動・交通	-1	町内に鉄道が無い。	1233257851
移動・交通	1	どこに行くにも公共交通機関で移動ができる。（交通網が発達している）	1235386123
買物・飲食	1	安いお店から高級なお店まで、いろいろなバリュエーションがある。	1235386123
地域行政	-1	住民税が高いが、他の都市と比べて行政サービスが充実しているとはいいがたい。	1235386123
事故・犯罪	-1	犯罪が多い	1235386123
買物・飲食	1	家の周りに飲食店やコンビニなどいろいろあって便利	1232653409
移動・交通	1	駅が近いので電車やバスの移動が楽	1232653409
住宅環境	-1	人が多いのでモラルのない人が多い	1232653409
事故・犯罪	-1	周りにあまりよくない建物があるので環境がよくない	1232653409
移動・交通	1	比較的落ち着いた住宅地でありながら、駅にも近いところ。	1233318343
住宅環境	1	車通りが少なく、静かである点##。	1233318343
医療・福祉	-1	ご高齢の一人暮らしの方も多く、行政の見守り等が行き届く地域であることを願います。	1233318343
買物・飲食	-1	買い物する場所が、近くには限られたスーパーしかなく、選択肢が少ない。もう少し店舗が増えて、定着して欲しい。	1233318343
公共空間	1	区役所などの公共機関が集合しており徒歩圏内で利便性が良い。	1230910853
買物・飲食	1	チェーン店が多いので飲食や買い物に便利である。	1230910853
子育て	-1	少子高齢化対策として子育て世代に支給金や税制で優遇する。	1230910853
デジタル生活	-1	高齢者にもデジタルを身近に感じる様に無料で講習して貰いたい。	1230910853
住宅環境	1	第二東名などの交通整備が進み、車での移動が楽。近隣市町村でのショッピングにも事欠かない。	1225756633
医療・福祉	1	東海大学病院や協同病院があり、高度な医療処置を受けることができる。	1225756633
移動・交通	-1	とにかく道路の舗装や道路標示の質が悪すぎる。	1225756633
公共空間	-1	子供が遊べる公園整備を進めてほしい。できれば駐車場付きで。	1225756633
移動・交通	1	鉄道がたくさん走っていて、バスもいろんな路線があるので、車がなくても移動しやすい。	1236721182
買物・飲食	1	たくさん店があるから困らない。	1236721182
子育て	-1	より相談しやすい体制をつくってほしい。	1236721182
事故・犯罪	-1	少なくなるように見回りを増やしてほしい。	1236721182
自然景観	1	他の選択肢より良いから	1233725127
都市景観	1	他の選択肢より良いから	1233725127
買物・飲食	-1	リーズナブルな、飲食店が少ない	1233725127
移動・交通	-1	駅まで20分以上掛かる	1233725127
住宅環境	1	世田谷等と比べ住宅街の道路がきちんと整備され、ごちゃごちゃしてない洗練された街である。	1231512476
移動・交通	1	都心にも横浜にも適度な時間で行けるのに加え高速も近い、	1231512476
買物・飲食	-1	もう少し、いい店が充実して欲しい。	1231512476
遊び・娯楽	-1	もう少し楽しめる場所があるといい！	1231512476
買物・飲食	1	駅周辺に多様な店が揃う	1228610714
移動・交通	1	電車、バスが複数路線ある	1228610714
都市景観	-1	開発がやや無秩序	1228610714
事故・犯罪	-1	道路沿いの歩道が未整備の所がある	1228610714
住宅環境	1	住宅街ではあるが、隣との距離も十分に離れており、公道があるが行き止まりになっている為、知らない車や人が入ってくる事もなく静かな環境のため。	1229582196
